Carimbo de data/hora,Qual é o seu grau de escolaridade?,Em que ano você finalizou o ensino médio?,Você cursou o ensino médio em escola pública ou particular?,Você cursou ensino médio tradicional ou profissionalizante?,Você tem/teve contato com alguma linguagem de programação?,Quais linguagens de programação você já usou?,Já utilizou algum software com funcionalidades estatísticas?,Qual(is) software(s) com funcionalidades estatísticas você usa ou já usou?,Qual a importância que você atribui à Estatística? ,Qual a sua principal expectativa após a conclusão da graduação?,Qual o seu sexo?,Qual a sua altura?,Qual o seu peso?,Qual a data do seu nascimento?,Qual das seguintes categorias descreve melhor sua situação de emprego?,Com quem você mora?,Quantos irmãos você tem?,Qual a sua origem?,Qual seu meio de transporte predominante que utilizava ou utilizaria para Universidade em atividades presenciais?,"Em média, quanto tempo você demora para chegar a Universidade?",Possui animal de estimação?,Toca algum instrumento musical?,Você pratica atividade física regularmente?,Quantas vezes por semana você se exercita?,Qual atividade você pratica?,"Observe as figuras abaixo. Uma delas se chama ""Bouba"" e a outra ""Kiki"". Quem é quem?",Quantos quadrados há na figura?
07/03/2024 18:38:39,Ensino superior,2023,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Não,Excel ou similares,8,Aumento salarial e oportunidades mais promissoras,Masculino,176,80,22/04/2005,Trabalho com carteira assinada/Vínculo Formal,Com os pais,2,Curitiba,Transporte público,60,Cachorro,Não toco nenhum instrumento,Sim,0,Nenhuma,"A da esquerda se chama Kiki, a da direita se chama Bouba.",20
07/03/2024 20:03:04,Ensino médio,2023,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,8,Seguir os estudos,Masculino,179,79,04/01/2006,Não trabalho,"Pensão, quarto alugado ou algo similar",1,Interior do Paraná,A pé,5,Cachorro,Não toco nenhum instrumento,Não,0,Nenhuma,"A da esquerda se chama Kiki, a da direita se chama Bouba.",39
07/03/2024 20:39:39,Ensino médio,2023,Totalmente em escola particular,Ensino médio tradicional,Não,Nunca usei,Sim,Excel ou similares,8,Conseguir um emprego,Masculino,187,89,10/01/2006,Não trabalho,"Pensão, quarto alugado ou algo similar",1,Outro Estado,A pé,10,Cachorro,"Violão, Teclado, Outro",Não,0,Musculação,"A da esquerda se chama Kiki, a da direita se chama Bouba.",40
07/03/2024 21:56:45,Ensino médio técnico,2022,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Não,Nunca usei,Sim,Excel ou similares,9,Conseguir um emprego,Masculino,182,85,17/06/2004,Trabalho com carteira assinada/Vínculo Formal,Com os pais,4,Curitiba,Transporte público,90,"Cachorro, Gato",Não toco nenhum instrumento,Sim,3,Caminhada,"A da esquerda se chama Kiki, a da direita se chama Bouba.",24
07/03/2024 22:06:31,Ensino médio,2020,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Não,Nunca usei,Sim,Wolfram alpha,10,Aumento salarial e oportunidades mais promissoras,Feminino,153,48,17/11/2003,Trabalho por contrato,Com os pais,2,Curitiba,Transporte público,45,"Cachorro, Pássaro",Violão,Sim,5,Caminhada,"A da esquerda se chama Kiki, a da direita se chama Bouba.",32
07/03/2024 22:45:18,Ensino médio,2023,Totalmente em escola particular,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,9,Conseguir um emprego,Masculino,176,80,12/03/2005,Trabalho ocasional,Com os pais,1,Curitiba,Carro/moto próprio,12,Não possuo,Não toco nenhum instrumento,Sim,6,"Musculação, Vôlei","A da esquerda se chama Kiki, a da direita se chama Bouba.",28
08/03/2024 12:26:01,Mestrado,2014,Totalmente em escola particular,Ensino médio tradicional,Não,Nunca usei,Sim,"Excel ou similares, Matlab",8,Aumento salarial e oportunidades mais promissoras,Masculino,180,88,01/07/1997,Trabalho por contrato,Com os pais,3,Curitiba,Carro/moto próprio,25,Cachorro,Não toco nenhum instrumento,Sim,4,"Musculação, Spinning","A da esquerda se chama Kiki, a da direita se chama Bouba.",32
08/03/2024 15:19:33,Ensino médio,2023,Totalmente em escola particular,Ensino médio tradicional,Sim,Python,Sim,Excel ou similares,10,Seguir os estudos,Masculino,180,80,22/03/2005,Não trabalho,"Pensão, quarto alugado ou algo similar",2,Interior do Paraná,A pé,2,Não possuo,"Violão, Guitarra, Piano",Sim,5,"Caminhada, Musculação","A da esquerda se chama Kiki, a da direita se chama Bouba.",40
08/03/2024 16:02:57,Ensino superior,2018,Totalmente em escola pública,Ensino médio tradicional,Sim,"R, Python, SQL, Julia",Sim,"R, SAS, Excel ou similares, Matlab",10,Aumento salarial e oportunidades mais promissoras,Masculino,175,86,15/06/2001,Trabalho com carteira assinada/Vínculo Formal,Com os pais,4,Curitiba,Carro/moto próprio,25,Cachorro,Não toco nenhum instrumento,Sim,4,"Musculação, Judô","A da esquerda se chama Kiki, a da direita se chama Bouba.",25
08/03/2024 19:10:53,Ensino médio,2018,Totalmente em escola particular,Ensino médio tradicional,Sim,"C++, Python",Sim,Excel ou similares,10,Aumento salarial e oportunidades mais promissoras,Feminino,175,82,22/10/2001,Trabalho com carteira assinada/Vínculo Formal,Sozinho,2,Outro Estado,Transporte público,40,Cachorro,"Violão, Guitarra",Não,0,Nenhuma,"A da esquerda se chama Kiki, a da direita se chama Bouba.",34
10/03/2024 20:44:16,Ensino médio,2023,Totalmente em escola particular,Ensino médio profissionalizante (técnico),Sim,"C++, JavaScript",Não,Excel ou similares,10,Conseguir um emprego,Masculino,180,100,24/01/2006,Não trabalho,Com os pais,1,Curitiba,Carro/moto próprio,10,Cachorro,Não toco nenhum instrumento,Sim,5,"Caminhada, Musculação","A da esquerda se chama Kiki, a da direita se chama Bouba.",27
